timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1618639761847,6660,post,200,OK,assignment2 1-1,text,true,,388,350,1,1,https://petstore.swagger.io/v2/user,6659,0,6137
1618639768542,434,get,200,OK,assignment2 1-1,text,true,,468,165,1,1,https://petstore.swagger.io/v2/user/a,433,0,0
